Country,Date,Amount,Controller_Processor,Quoted_Art,Type,LLM_Summary
GERMANY,,0,Unknown,,Unknown,"On NaT, the DPA of GERMANY fined Unknown €0 for Unknown (Violating GDPR Article nan)."
GERMANY,,170,Restaurant,5,Non-compliance with general data processing principles,"On NaT, the DPA of GERMANY fined Restaurant €170 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
GERMANY,,400,Police officer,"5,6",Insufficient legal basis for data processing,"On NaT, the DPA of GERMANY fined Police officer €400 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
GERMANY,,600,Police officer,"5,6",Insufficient legal basis for data processing,"On NaT, the DPA of GERMANY fined Police officer €600 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
GERMANY,,500,Police officer,"5,6",Insufficient legal basis for data processing,"On NaT, the DPA of GERMANY fined Police officer €500 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
GERMANY,,1800,Police officer,"5,6",Insufficient legal basis for data processing,"On NaT, the DPA of GERMANY fined Police officer €1800 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
ITALY,2022-04-28,2500,'Isabella Gonzaga' high school,"5,6,9,2-,2-",Insufficient legal basis for data processing,"On 2022-04-28, the DPA of ITALY fined 'Isabella Gonzaga' high school €2500 for Insufficient legal basis for data processing (Violating GDPR Article 5,6,9,2-,2-)."
POLAND,2022-06-06,3500,Esselmann Technika Pojazdowa Sp. z o.o. Sp. k.,33,Insufficient fulfilment of data breach notification obligations,"On 2022-06-06, the DPA of POLAND fined Esselmann Technika Pojazdowa Sp. z o.o. Sp. k. €3500 for Insufficient fulfilment of data breach notification obligations (Violating GDPR Article 33)."
SPAIN,2022-06-03,3000,"LODEJU, S.L.","5,13",Non-compliance with general data processing principles,"On 2022-06-03, the DPA of SPAIN fined LODEJU, S.L. €3000 for Non-compliance with general data processing principles (Violating GDPR Article 5,13)."
ROMANIA,2022-06-08,1500,Wens Experience SRL,28,Insufficient data processing agreement,"On 2022-06-08, the DPA of ROMANIA fined Wens Experience SRL €1500 for Insufficient data processing agreement (Violating GDPR Article 28)."
SPAIN,2022-06-03,360,Private individual,"5,13",Non-compliance with general data processing principles,"On 2022-06-03, the DPA of SPAIN fined Private individual €360 for Non-compliance with general data processing principles (Violating GDPR Article 5,13)."
SPAIN,2022-06-03,1000,Store owner,13,Insufficient fulfilment of information obligations,"On 2022-06-03, the DPA of SPAIN fined Store owner €1000 for Insufficient fulfilment of information obligations (Violating GDPR Article 13)."
ROMANIA,2022-06-03,2000,Kaufland Romania SCS,"29,32",Insufficient technical and organisational measures to ensure information security,"On 2022-06-03, the DPA of ROMANIA fined Kaufland Romania SCS €2000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 29,32)."
ITALY,2022-04-28,50000,Istituto Nazionale Assicurazione Infortuni sul Lavoro,"5,32,2-,2-",Insufficient technical and organisational measures to ensure information security,"On 2022-04-28, the DPA of ITALY fined Istituto Nazionale Assicurazione Infortuni sul Lavoro €50000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5,32,2-,2-)."
ITALY,2022-04-28,10000,Italian Ministry of Defense,"5,6,9,10,2-,2-,2-",Insufficient legal basis for data processing,"On 2022-04-28, the DPA of ITALY fined Italian Ministry of Defense €10000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6,9,10,2-,2-,2-)."
SPAIN,2022-06-01,300,Private individual,5,Non-compliance with general data processing principles,"On 2022-06-01, the DPA of SPAIN fined Private individual €300 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2022-05-31,1600,CORON ISLAND SLU,5,Non-compliance with general data processing principles,"On 2022-05-31, the DPA of SPAIN fined CORON ISLAND SLU €1600 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
ITALY,2022-04-28,1000,Educationest s.r.l.,5,Insufficient legal basis for data processing,"On 2022-04-28, the DPA of ITALY fined Educationest s.r.l. €1000 for Insufficient legal basis for data processing (Violating GDPR Article 5)."
ITALY,2022-04-07,10000,E-Mac Professional s.r.l.,"12,15",Insufficient fulfilment of data subjects rights,"On 2022-04-07, the DPA of ITALY fined E-Mac Professional s.r.l. €10000 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 12,15)."
BELGIUM,2022-05-25,50000,Roularta Media Group,"5,12,13,14,24",Insufficient legal basis for data processing,"On 2022-05-25, the DPA of BELGIUM fined Roularta Media Group €50000 for Insufficient legal basis for data processing (Violating GDPR Article 5,12,13,14,24)."
UNITED KINGDOM,2022-05-18,9000000,Clearview Al Inc.,"5,6,9,14,15,16,17,21,22,35",Non-compliance with general data processing principles,"On 2022-05-18, the DPA of UNITED KINGDOM fined Clearview Al Inc. €9000000 for Non-compliance with general data processing principles (Violating GDPR Article 5,6,9,14,15,16,17,21,22,35)."
FINLAND,2022-04-29,8300,Telemarketing company,58,Insufficient cooperation with supervisory authority,"On 2022-04-29, the DPA of FINLAND fined Telemarketing company €8300 for Insufficient cooperation with supervisory authority (Violating GDPR Article 58)."
UNITED KINGDOM,2022-03-10,115000,Tuckers Solicitors LLP,5,Non-compliance with general data processing principles,"On 2022-03-10, the DPA of UNITED KINGDOM fined Tuckers Solicitors LLP €115000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
ITALY,2022-04-07,10000,Findomestic Banca spa,5,Non-compliance with general data processing principles,"On 2022-04-07, the DPA of ITALY fined Findomestic Banca spa €10000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
ITALY,2022-04-07,20000,Made in Italy s.r.l.s.,"6,7,15,17,21,130",Insufficient legal basis for data processing,"On 2022-04-07, the DPA of ITALY fined Made in Italy s.r.l.s. €20000 for Insufficient legal basis for data processing (Violating GDPR Article 6,7,15,17,21,130)."
ITALY,2022-04-07,50000,Palumbo Superyacht Ancona s.r.l.,5,Insufficient legal basis for data processing,"On 2022-04-07, the DPA of ITALY fined Palumbo Superyacht Ancona s.r.l. €50000 for Insufficient legal basis for data processing (Violating GDPR Article 5)."
SPAIN,2022-05-20,2000,Private individual,6,Insufficient legal basis for data processing,"On 2022-05-20, the DPA of SPAIN fined Private individual €2000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2022-05-20,1500,Private individual,5,Non-compliance with general data processing principles,"On 2022-05-20, the DPA of SPAIN fined Private individual €1500 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2022-05-20,2000,Private individual,6,Insufficient legal basis for data processing,"On 2022-05-20, the DPA of SPAIN fined Private individual €2000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
NORWAY,2022-03-15,9700,Company,"6,13,21",Insufficient legal basis for data processing,"On 2022-03-15, the DPA of NORWAY fined Company €9700 for Insufficient legal basis for data processing (Violating GDPR Article 6,13,21)."
ROMANIA,2022-05-24,5000,MED LIFE S.A.,32,Insufficient technical and organisational measures to ensure information security,"On 2022-05-24, the DPA of ROMANIA fined MED LIFE S.A. €5000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
SPAIN,2022-05-17,42000,"Vodafone España, S.A.U.",6,Insufficient legal basis for data processing,"On 2022-05-17, the DPA of SPAIN fined Vodafone España, S.A.U. €42000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2022-05-18,600,"SCF ZHU, S.L.",13,Insufficient fulfilment of information obligations,"On 2022-05-18, the DPA of SPAIN fined SCF ZHU, S.L. €600 for Insufficient fulfilment of information obligations (Violating GDPR Article 13)."
ITALY,2022-03-10,10000,Alfa Shipyard s.r.l.,58,Insufficient cooperation with supervisory authority,"On 2022-03-10, the DPA of ITALY fined Alfa Shipyard s.r.l. €10000 for Insufficient cooperation with supervisory authority (Violating GDPR Article 58)."
SPAIN,2022-05-18,10000000,Google LLC,"6,17",Insufficient legal basis for data processing,"On 2022-05-18, the DPA of SPAIN fined Google LLC €10000000 for Insufficient legal basis for data processing (Violating GDPR Article 6,17)."
SPAIN,2022-05-17,4000,INSEKT FOOD S.L.,6,Insufficient legal basis for data processing,"On 2022-05-17, the DPA of SPAIN fined INSEKT FOOD S.L. €4000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2022-05-17,18000,"RAMONA FILMS, S.L.",58,Insufficient cooperation with supervisory authority,"On 2022-05-17, the DPA of SPAIN fined RAMONA FILMS, S.L. €18000 for Insufficient cooperation with supervisory authority (Violating GDPR Article 58)."
SPAIN,2022-05-17,8000,"TIGERS MARKET, S.L.",48,Insufficient fulfilment of data subjects rights,"On 2022-05-17, the DPA of SPAIN fined TIGERS MARKET, S.L. €8000 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 48)."
SPAIN,2022-05-17,1500,Private individual,5,Non-compliance with general data processing principles,"On 2022-05-17, the DPA of SPAIN fined Private individual €1500 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
ROMANIA,2022-05-17,1500,MAYR MELNHOF PACKAGING ROMANIA S.R.L.,"5,6",Non-compliance with general data processing principles,"On 2022-05-17, the DPA of ROMANIA fined MAYR MELNHOF PACKAGING ROMANIA S.R.L. €1500 for Non-compliance with general data processing principles (Violating GDPR Article 5,6)."
ROMANIA,2022-05-18,5000,Kredyt Inkaso Investments RO S.A,"5,6,9,33",Insufficient legal basis for data processing,"On 2022-05-18, the DPA of ROMANIA fined Kredyt Inkaso Investments RO S.A €5000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6,9,33)."
HUNGARY,2022-03-29,1300,Workshop,5,Non-compliance with general data processing principles,"On 2022-03-29, the DPA of HUNGARY fined Workshop €1300 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2022-05-13,170000,Mercadona S.A.,"6,12,15",Insufficient legal basis for data processing,"On 2022-05-13, the DPA of SPAIN fined Mercadona S.A. €170000 for Insufficient legal basis for data processing (Violating GDPR Article 6,12,15)."
LUXEMBOURG,2022-02-02,1000,Café owner,"5,13",Non-compliance with general data processing principles,"On 2022-02-02, the DPA of LUXEMBOURG fined Café owner €1000 for Non-compliance with general data processing principles (Violating GDPR Article 5,13)."
SPAIN,2022-05-11,6000,Homeowners Association,"5,13",Non-compliance with general data processing principles,"On 2022-05-11, the DPA of SPAIN fined Homeowners Association €6000 for Non-compliance with general data processing principles (Violating GDPR Article 5,13)."
SPAIN,2022-05-12,2000,Private individual,6,Insufficient legal basis for data processing,"On 2022-05-12, the DPA of SPAIN fined Private individual €2000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2022-05-12,500,Private individual,5,Non-compliance with general data processing principles,"On 2022-05-12, the DPA of SPAIN fined Private individual €500 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
ROMANIA,2022-05-12,1000,LORIS FUEL SHOP SRL,"29,32",Insufficient technical and organisational measures to ensure information security,"On 2022-05-12, the DPA of ROMANIA fined LORIS FUEL SHOP SRL €1000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 29,32)."
SPAIN,2022-05-11,600,Bar owner,5,Non-compliance with general data processing principles,"On 2022-05-11, the DPA of SPAIN fined Bar owner €600 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
DENMARK,2022-05-12,13400,Civilstyrelsen,"32,33",Insufficient technical and organisational measures to ensure information security,"On 2022-05-12, the DPA of DENMARK fined Civilstyrelsen €13400 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32,33)."
ITALY,2022-04-07,40000,ISWEB S.p.A.,28,Insufficient data processing agreement,"On 2022-04-07, the DPA of ITALY fined ISWEB S.p.A. €40000 for Insufficient data processing agreement (Violating GDPR Article 28)."
